# The station playlist, in broadcast order. One YouTube video ID or URL per line.
# Blank lines and lines starting with # are ignored.
#
# Imported from https://www.youtube.com/playlist?list=PLfwITQ3WPP6U
# Re-import:  node scripts/build-tracks.mjs --playlist PLfwITQ3WPP6U
# A plain run keeps hand edits made here; a --playlist run overwrites them.
#
# Order matters: this is the loop. Appending to the end is safe. Reordering or
# removing shifts every listener's position the moment they reload.

OSye8OO5TkM   # Movement
eCCtiK7KlSo   # Talk
1ZsgY_C3Ttc   # Maya Pheri
z-rYM4D0CO0   # When We Feel Young
PVjiKRfKpPI   # Take Me To Church
Bgm2naUtoJo   # die first
nH7bjV0Q_44   # Work Song
kIEWJ1ljEro   # Die For You
llFdrwnBwLE   # YUKON (Interlude)
NdYWuo9OFAw   # Iris
yKNxeF4KMsY   # Yellow
aezstCBHOPQ   # Too Sweet
MKk1u5RMTn4   # Carnival of Rust
sElE_BfQ67s   # Apocalypse
V9PVRfjEBTI   # BIRDS OF A FEATHER
